lat_r,lng_r,alert_count
17.256,78.886,40
17.23,79.0,40
17.099,79.763,40
17.231,79.097,40
17.234,78.955,40
17.147,79.604,40
17.231,79.062,40
17.145,79.593,39
17.112,79.675,39
17.273,78.817,39
17.199,79.191,39
17.016,79.92,39
17.157,79.432,39
17.016,79.925,39
17.278,78.809,39
17.23,79.026,39
17.279,78.807,39
17.112,79.694,39
16.957,80.043,39
17.169,79.392,39
17.145,79.603,39
17.362,78.544,39
17.231,78.992,39
17.165,79.41,39
16.953,80.048,39
17.225,79.14,39
17.049,79.845,39
17.196,79.233,39
17.163,79.513,39
17.152,79.621,39
17.231,79.035,39
17.171,79.377,39
17.259,78.849,39
16.941,80.061,39
17.176,79.273,39
17.176,79.27,39
17.231,79.09,39
17.317,78.659,39
17.178,79.261,39
17.159,79.307,39
17.108,79.707,39
17.189,79.249,39
17.015,79.916,39
17.174,79.276,39
17.171,79.378,39
17.01,79.906,38
17.169,79.395,38
17.166,79.523,38
17.112,79.693,38
17.084,79.789,38
17.242,78.935,38
17.107,79.731,38
16.945,80.057,38
17.107,79.728,38
17.229,79.132,38
17.012,79.909,38
17.168,79.402,38
17.163,79.412,38
17.151,79.623,38
17.206,79.186,38
17.163,79.325,38
17.145,79.596,38
17.089,79.783,38
17.232,79.124,38
17.199,79.221,38
17.171,79.359,38
17.112,79.673,38
17.339,78.567,38
17.053,79.837,38
17.17,79.382,38
17.171,79.37,38
17.054,79.83,38
17.13,79.635,37
17.055,79.829,37
17.239,78.945,37
17.066,79.81,37
17.284,78.78,37
17.283,78.782,37
17.16,79.317,37
17.256,78.878,37
16.973,80.021,37
17.177,79.266,37
17.145,79.601,37
16.971,80.024,37
17.112,79.665,37
17.249,78.906,37
17.122,79.648,37
17.096,79.769,37
17.157,79.43,37
17.112,79.686,37
17.09,79.78,37
17.208,79.182,37
17.279,78.788,37
17.112,79.692,37
17.245,78.92,37
17.155,79.617,37
17.17,79.349,37
17.229,78.999,37
17.113,79.663,37
17.079,79.794,37
17.212,79.164,37
17.173,79.28,37
17.229,79.025,37
17.163,79.297,37
17.112,79.671,37
17.196,79.202,37
17.109,79.704,36
17.231,79.053,36
16.952,80.049,36
17.174,79.277,36
17.146,79.589,36
17.17,79.358,36
17.107,79.727,36
17.188,79.25,36
17.169,79.388,36
17.169,79.288,36
17.132,79.633,36
17.008,79.903,36
17.143,79.631,36
17.065,79.813,36
16.963,80.036,36
16.965,80.033,36
17.169,79.39,36
17.168,79.397,36
17.06,79.822,36
17.206,79.185,36
17.158,79.467,36
17.281,78.798,36
17.23,78.995,36
17.152,79.574,36
17.23,78.992,36
17.164,79.33,36
17.163,79.546,36
17.041,79.85,36
17.158,79.463,36
16.976,80.015,35
17.096,79.77,35
17.063,79.818,35
17.254,78.894,35
17.191,79.247,35
17.222,79.145,35
17.231,79.094,35
17.169,79.394,35
17.317,78.661,35
17.231,79.106,35
17.11,79.703,35
17.095,79.771,35
17.166,79.338,35
17.157,79.559,35
17.265,78.834,35
17.232,79.109,35
17.279,78.792,35
17.164,79.53,35
17.231,79.093,35
17.153,79.62,35
17.196,79.198,35
17.085,79.788,35
17.212,79.168,35
17.067,79.807,35
17.17,79.384,35
17.159,79.557,35
17.23,79.132,35
16.954,80.046,35
17.107,79.724,35
17.015,79.918,34
17.231,79.108,34
17.197,79.193,34
17.073,79.803,34
17.23,79.082,34
17.366,78.542,34
17.112,79.679,34
16.96,80.04,34
17.265,78.831,34
17.264,78.834,34
17.18,79.257,34
17.231,79.098,34
17.256,78.887,34
17.009,79.9,34
17.159,79.47,34
16.958,80.041,33
17.103,79.741,33
17.194,79.239,33
17.152,79.622,33
16.969,80.026,33
17.157,79.423,33
17.101,79.745,33
17.17,79.352,33
17.112,79.695,33
17.01,79.905,33
16.966,80.033,33
17.231,79.047,33
17.193,79.243,33
17.249,78.904,33
17.013,79.912,33
17.163,79.328,33
17.258,78.862,33
17.112,79.67,33
17.187,79.251,33
17.128,79.638,33
17.23,79.075,33
17.194,79.238,32
17.229,78.995,32
17.16,79.477,32
17.093,79.775,32
16.952,80.05,32
17.159,79.558,32
17.217,79.153,32
16.943,80.059,32
17.317,78.657,32
17.3,78.74,32
17.16,79.418,32
17.232,78.963,32
16.983,80.002,32
17.237,78.95,32
17.23,79.034,32
17.15,79.606,32
17.145,79.592,32
17.229,79.077,32
17.086,79.786,32
17.146,79.588,32
17.198,79.223,32
17.145,79.629,32
17.052,79.837,32
17.293,78.748,32
17.233,79.123,31
17.107,79.733,31
17.142,79.632,31
17.047,79.847,31
17.166,79.409,31
17.048,79.845,31
17.211,79.168,31
17.014,79.891,31
17.198,79.193,31
17.105,79.736,31
17.253,78.896,31
17.294,78.744,31
17.224,79.142,31
17.095,79.772,31
17.229,79.017,31
17.17,79.381,31
17.242,78.936,31
17.157,79.455,31
17.368,78.537,31
17.119,79.653,30
17.36,78.544,30
17.244,78.925,30
17.016,79.885,30
17.062,79.818,30
17.055,79.83,30
17.158,79.44,30
17.023,79.871,30
17.098,79.759,30
17.106,79.736,30
17.162,79.3,30
17.207,79.185,30
17.162,79.546,30
17.199,79.222,30
16.955,80.045,30
17.229,79.076,30
17.094,79.772,30
17.272,78.82,30
17.113,79.681,30
17.292,78.756,30
17.157,79.558,30
17.058,79.825,30
17.01,79.897,29
17.234,78.958,29
17.025,79.868,29
17.193,79.242,29
17.199,79.206,29
17.271,78.82,29
17.113,79.68,29
17.23,78.968,29
17.231,79.051,29
17.229,79.0,29
17.16,79.304,29
17.165,79.335,28
17.32,78.649,28
17.165,79.53,28
17.236,78.95,28
17.199,79.209,28
17.319,78.653,28
17.353,78.546,28
17.343,78.556,28
17.317,78.662,28
17.112,79.682,28
